CATEGORY,ARTICLE,DESCRIPTION,LAST_ACTUAL_SALES,PREDICTED_DATE,PREDICTED_SALES,GROWTH,MAE,RMSE
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0.0,2024-01-01,1.2081859406787665,1.2081859406787665,0.268217275701576,0.30905329756703814
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0.0,2024-02-01,0.21894579666118788,0.21894579666118788,0.268217275701576,0.30905329756703814
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0.0,2024-03-01,-0.08109798111000083,-0.08109798111000083,0.268217275701576,0.30905329756703814
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0.0,2024-04-01,0.28004838913577784,0.28004838913577784,0.268217275701576,0.30905329756703814
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0.0,2024-05-01,0.7772386052924916,0.7772386052924916,0.268217275701576,0.30905329756703814
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0.0,2024-06-01,-0.06734248268199383,-0.06734248268199383,0.268217275701576,0.30905329756703814
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0.0,2024-01-01,-0.5101912307252406,-0.5101912307252406,0.28655946891614287,0.2899438606708547
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0.0,2024-02-01,0.33574024305464345,0.33574024305464345,0.28655946891614287,0.2899438606708547
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0.0,2024-03-01,-0.24663552584818382,-0.24663552584818382,0.28655946891614287,0.2899438606708547
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0.0,2024-04-01,-0.2641846023986825,-0.2641846023986825,0.28655946891614287,0.2899438606708547
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0.0,2024-05-01,0.34341824080355327,0.34341824080355327,0.28655946891614287,0.2899438606708547
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0.0,2024-06-01,0.27808566010544744,0.27808566010544744,0.28655946891614287,0.2899438606708547
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0.0,2024-01-01,0.008630581062533567,0.008630581062533567,0.22397377797679377,0.37477214192257124
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0.0,2024-02-01,0.06473757393802533,0.06473757393802533,0.22397377797679377,0.37477214192257124
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0.0,2024-03-01,-0.10091030171696067,-0.10091030171696067,0.22397377797679377,0.37477214192257124
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0.0,2024-04-01,0.6360108155852718,0.6360108155852718,0.22397377797679377,0.37477214192257124
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0.0,2024-05-01,-0.04962732387415336,-0.04962732387415336,0.22397377797679377,0.37477214192257124
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0.0,2024-06-01,0.3475422366906651,0.3475422366906651,0.22397377797679377,0.37477214192257124
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",0.0,2024-01-01,-1.2691752723663066,-1.2691752723663066,0.8153841859505523,0.8339783217783685
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",0.0,2024-02-01,1.0375295949586238,1.0375295949586238,0.8153841859505523,0.8339783217783685
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",0.0,2024-03-01,-0.5160749093500752,-0.5160749093500752,0.8153841859505523,0.8339783217783685
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",0.0,2024-04-01,-0.026314986632462595,-0.026314986632462595,0.8153841859505523,0.8339783217783685
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",0.0,2024-05-01,0.12376362164846033,0.12376362164846033,0.8153841859505523,0.8339783217783685
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",0.0,2024-06-01,3.470472936353726,3.470472936353726,0.8153841859505523,0.8339783217783685
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",0.0,2024-01-01,0.10589386577480064,0.10589386577480064,0.24718692956892033,0.2861853399768959
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",0.0,2024-02-01,0.3641140381703199,0.3641140381703199,0.24718692956892033,0.2861853399768959
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",0.0,2024-03-01,-0.28836830410601244,-0.28836830410601244,0.24718692956892033,0.2861853399768959
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",0.0,2024-04-01,1.4365879580494454,1.4365879580494454,0.24718692956892033,0.2861853399768959
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",0.0,2024-05-01,0.7422237380446461,0.7422237380446461,0.24718692956892033,0.2861853399768959
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",0.0,2024-06-01,2.6189507739677085,2.6189507739677085,0.24718692956892033,0.2861853399768959
MOTORPOOL,AUTOMOTIVE BELT,AUTOMOTIVE BELT 3610 x 1525 A-60,52.0,2024-01-01,-1.0160601340365978,-53.0160601340366,11.679896549048193,19.61760021752872
MOTORPOOL,AUTOMOTIVE BELT,AUTOMOTIVE BELT 3610 x 1525 A-60,52.0,2024-02-01,-0.2509586786504019,-52.2509586786504,11.679896549048193,19.61760021752872
MOTORPOOL,AUTOMOTIVE BELT,AUTOMOTIVE BELT 3610 x 1525 A-60,52.0,2024-03-01,3.168984900937733,-48.83101509906227,11.679896549048193,19.61760021752872
MOTORPOOL,AUTOMOTIVE BELT,AUTOMOTIVE BELT 3610 x 1525 A-60,52.0,2024-04-01,1.7022531479549627,-50.29774685204504,11.679896549048193,19.61760021752872
MOTORPOOL,AUTOMOTIVE BELT,AUTOMOTIVE BELT 3610 x 1525 A-60,52.0,2024-05-01,0.8683658511021108,-51.13163414889789,11.679896549048193,19.61760021752872
MOTORPOOL,AUTOMOTIVE BELT,AUTOMOTIVE BELT 3610 x 1525 A-60,52.0,2024-06-01,0.701021404369716,-51.29897859563028,11.679896549048193,19.61760021752872
MOTORPOOL,DIESEL ENGINE OIL,DIESEL ENGINE OIL  SAE 40,0.0,2024-01-01,16.16152095212881,16.16152095212881,2.633060350888948,3.069082307752836
MOTORPOOL,DIESEL ENGINE OIL,DIESEL ENGINE OIL  SAE 40,0.0,2024-02-01,1.088069950452511,1.088069950452511,2.633060350888948,3.069082307752836
MOTORPOOL,DIESEL ENGINE OIL,DIESEL ENGINE OIL  SAE 40,0.0,2024-03-01,2.442988600788366,2.442988600788366,2.633060350888948,3.069082307752836
MOTORPOOL,DIESEL ENGINE OIL,DIESEL ENGINE OIL  SAE 40,0.0,2024-04-01,3.1686401908594624,3.1686401908594624,2.633060350888948,3.069082307752836
MOTORPOOL,DIESEL ENGINE OIL,DIESEL ENGINE OIL  SAE 40,0.0,2024-05-01,1.129963827211843,1.129963827211843,2.633060350888948,3.069082307752836
MOTORPOOL,DIESEL ENGINE OIL,DIESEL ENGINE OIL  SAE 40,0.0,2024-06-01,4.079451168842773,4.079451168842773,2.633060350888948,3.069082307752836
MOTORPOOL,GASOLINE ENGINE OIL,GASOLINE ENGINE OIL ,11.0,2024-01-01,10.008026188910485,-0.9919738110895153,5.586297241776582,6.243823720485833
MOTORPOOL,GASOLINE ENGINE OIL,GASOLINE ENGINE OIL ,11.0,2024-02-01,0.3758139373629783,-10.624186062637023,5.586297241776582,6.243823720485833
MOTORPOOL,GASOLINE ENGINE OIL,GASOLINE ENGINE OIL ,11.0,2024-03-01,3.81106429270529,-7.188935707294711,5.586297241776582,6.243823720485833
MOTORPOOL,GASOLINE ENGINE OIL,GASOLINE ENGINE OIL ,11.0,2024-04-01,5.917113115646032,-5.082886884353968,5.586297241776582,6.243823720485833
MOTORPOOL,GASOLINE ENGINE OIL,GASOLINE ENGINE OIL ,11.0,2024-05-01,2.5629769860992013,-8.437023013900799,5.586297241776582,6.243823720485833
MOTORPOOL,GASOLINE ENGINE OIL,GASOLINE ENGINE OIL ,11.0,2024-06-01,11.187426492333534,0.18742649233353426,5.586297241776582,6.243823720485833
MOTORPOOL,OIL FILTER ,OIL FILTER (DAIWA) DC-518/526,34.0,2024-01-01,-0.7314307013557542,-34.731430701355755,7.66694056513271,12.847065512499842
MOTORPOOL,OIL FILTER ,OIL FILTER (DAIWA) DC-518/526,34.0,2024-02-01,0.06082347089232987,-33.93917652910767,7.66694056513271,12.847065512499842
MOTORPOOL,OIL FILTER ,OIL FILTER (DAIWA) DC-518/526,34.0,2024-03-01,2.08008478074291,-31.91991521925709,7.66694056513271,12.847065512499842
MOTORPOOL,OIL FILTER ,OIL FILTER (DAIWA) DC-518/526,34.0,2024-04-01,1.105348995125019,-32.89465100487498,7.66694056513271,12.847065512499842
MOTORPOOL,OIL FILTER ,OIL FILTER (DAIWA) DC-518/526,34.0,2024-05-01,0.5459455634877763,-33.45405443651222,7.66694056513271,12.847065512499842
MOTORPOOL,OIL FILTER ,OIL FILTER (DAIWA) DC-518/526,34.0,2024-06-01,0.42396139472048167,-33.57603860527952,7.66694056513271,12.847065512499842
MOTORPOOL,OIL FILTER ,OIL FILTER (SAKURA) C-1712,32.0,2024-01-01,-0.5664068971362455,-32.56640689713625,7.138774778559828,12.043256570939498
MOTORPOOL,OIL FILTER ,OIL FILTER (SAKURA) C-1712,32.0,2024-02-01,-0.12396801519494816,-32.12396801519495,7.138774778559828,12.043256570939498
