CATEGORY,ARTICLE,DESCRIPTION,DATE,SALES,YEAR,MONTH,QUARTER,MONTH_NAME,IS_HOLIDAY_SEASON
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2021-11-01,0.0,2021,11,4,November,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2021-11-01,0.0,2021,11,4,November,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2021-12-01,5.0,2021,12,4,December,1
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2021-12-01,5.0,2021,12,4,December,1
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2022-01-01,0.0,2022,1,1,January,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2022-01-01,0.0,2022,1,1,January,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2022-02-01,12.0,2022,2,1,February,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2022-02-01,12.0,2022,2,1,February,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2022-03-01,41.0,2022,3,1,March,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2022-03-01,41.0,2022,3,1,March,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2022-04-01,288.0,2022,4,2,April,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2022-04-01,288.0,2022,4,2,April,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2022-05-01,93.0,2022,5,2,May,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2022-05-01,93.0,2022,5,2,May,0
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",2022-06-01,0.0,2022,6,2,June,0
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",2022-06-01,0.0,2022,6,2,June,0
