CATEGORY,ARTICLE,DESCRIPTION,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec
OFFICE,BOND PAPER,A3  COPY PAPER,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,2,2,7,0,10,0,0,0,10,5,7,3,0,1,10,1,8,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSTODIAL,DISENFECTANT SPRAY,DISENFECTANT SPRAY Citrus Scent (340g),0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,1,2,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,0,2,3,1,0,0,0,3,0,3,2,0,3,1,4,0,2,3
CUSTODIAL,BROOM ,BROOM (WALIS TAMBO),2,0,1,6,0,0,0,0,2,3,0,0,1,3,2,3,0,1,1,0,2,5,1,0,2,1,2,0,0,0,2,2,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,2,1,0,2,2,1,0,0,0,3,0,2,2,3,2,12,5,0,0,2
CUSTODIAL,DUTCH CLEANSER,DUTCH CLEANSER,1,0,0,1,3,0,0,0,0,1,1,0,2,0,0,0,0,0,2,1,0,0,1,0,2,4,5,3,3,4,0,0,1,0,0,3,2,0,7,0,0,3,0,0,1,1,2,0,2,2,3,4,1,0,0,0,0,0,0,0,1,1,0,2,4,2,5,2,0,0,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROUNDS,TRASH LINER,"TRASH LINER (GARBAGE BAG 2XL), premium grade, 10 pcs/pack, transparent",165,275,140,232,334,375,0,100,200,302,252,121,10,227,327,420,190,190,270,215,300,455,180,100,430,380,100,10,8,182,345,20,230,198,0,15,132,126,162,170,4,90,113,126,55,110,200,41,10,70,100,0,0,34,0,0,70,0,0,0,500,510,600,400,490,600,600,500,700,200,600,700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0,4,2,0,1,0,0,0,1,2,1,2,1,1,0,0,0,0,1,1,1,0,2,0,3,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,1,0,1,0,1,2,0,1,1,2,1,0,0,0,0
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",0,0,0,1,1,0,0,0,1,0,3,0,0,0,6,3,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,2,4,4,0,0,0
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",1,0,5,1,7,8,8,2,1,0,0,0,0,0,4,0,1,0,0,3,2,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,2,0,1,1,2,0,0,0,0
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0,0,0,1,4,2,2,2,3,0,0,1,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,2,0,1,0,0,0,0,1,0,1,0
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
